n,PMID,QID,Type,Human Answer,n_models_wrong,all_models_wrong,annotation_verdict,reason
600,38031075,16,List,Not reported,2,False,,
601,38033131,16,List,Not reported,1,False,,
602,38058846,16,List,"3TC, ABC, LPV, AZT, DTG, FTC, TDF, DRV, EFV, NVP",1,False,,
603,38090027,16,List,"BIC, FTC, TAF, EVG",2,False,,
604,38140667,16,List,Not reported,1,False,,
605,38142692,16,List,Not reported,2,False,,
606,38314093,16,List,Not reported,3,False,,
607,40400229,16,List,"TDF, FTC",2,False,,
608,40431710,16,List,"AZT, ddI, d4T, 3TC, ABC, TDF, TAF, DLV, ETR, DOR, IDV, RTV, NFV, LPV, ATV, DRV, EVG, DTG, FOS",3,False,,
609,40490983,16,List,"AZT, 3TC, TDF, ABC, EFV, NVP, LPV, RTV, ATV (RTV is for boosting)",3,False,,
610,40596906,16,List,Not stated,5,True,,
611,40713598,16,List,"ABC, 3TC, AZT (ZDV), NVP, EFV",2,False,,
612,40763144,16,List,"AZT, ABC, 3TC, TDF, ATV, LPV, RTV, DTG",3,False,,
613,40779404,16,List,TFV (no other ARVs specified; Data in supplementary methods),5,True,,
614,40839365,16,List,DTG  ,1,False,,
615,40857111,16,List,"TAF, FTC, TDF, 3TC, DTG, BIC",3,False,,
616,40872801,16,List,None,2,False,,
617,40974886,16,List,"TAF, FTC, BIC",1,False,,
618,41004608,16,List,None,1,False,,
619,41012586,16,List,"DTG, DRV/r",3,False,,
620,41023944,16,List,DTG (no other ARVs specified),3,False,,
621,41056006,16,List,"TAF, FTC, LEN, BIC",1,False,,
622,41057785,16,List,"ABC, AZT, D4T, TDF, ETR, NVP, EFV, LPV, DRV/r, DTG",3,False,,
623,41088231,16,List,None,2,False,,
624,41129268,16,List,"AZT, 3TC, TDF, ABC, EFV, NVP, LPV/r, DTG",1,False,,
625,41130593,16,List,"TDF, TAF, FTC, LEN",3,False,,
