Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
Kimi K3 QSP,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
Kimi K3 QSP,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37279764,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,
Kimi K3 QSP,37340869,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37376649,11,List,What type of samples were sequenced?,PBMC,Whole blood,ambiguous,annotation/convention,ambiguous: paper says whole blood was used for the GenoSure Archive assay; annotation says PBMC
Kimi K3 QSP,37376649,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
Kimi K3 QSP,37376649,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",Tenofovir alafenamide (TAF),ok,model error,
Kimi K3 QSP,37381002,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37381002,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TDF), zidovudine (AZT), lamivudine (3TC), efavirenz (EFV), nevirapine (NVP)",ok,model error,
Kimi K3 QSP,37439411,5,Number,How many individuals had samples obtained for HIV sequencing?,9387,15369,ok,model error,
Kimi K3 QSP,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
Kimi K3 QSP,37498738,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",INSTI,ok,model error,
Kimi K3 QSP,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",ok,model error,
Kimi K3 QSP,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
Kimi K3 QSP,37520425,5,Number,How many individuals had samples obtained for HIV sequencing?,25 or 30,16,ambiguous,annotation/convention,ambiguous: annotation hedges: '25 or 30'
Kimi K3 QSP,37520425,7,List,From what years were the sequenced samples obtained?,"2016-2017, 2019-2020",2019–2021,ok,model error,
Kimi K3 QSP,37537871,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,ok,model error,
Kimi K3 QSP,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Not reported,ok,model error,
Kimi K3 QSP,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
Kimi K3 QSP,37541705,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC",None,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37541705,6,List,From which countries were the sequenced samples obtained?,"Botswana, South Africa, Thailand, and the U.S.",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37541705,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37546367,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Efavirenz (EFV), nevirapine (NVP), lamivudine (3TC), emtricitabine (FTC)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37554471,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
Kimi K3 QSP,37554471,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37554471,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37554471,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine (ETR), dolutegravir (DTG), darunavir (DRV), ritonavir (RTV); prior exposure to tenofovir (TDF), lamivudine (3TC), emtricitabine (FTC), abacavir (ABC), and efavirenz (EFV) implied by archived resistance; later cabotegravir (CAB), rilpivirine (RPV), and emtricitabine/tenofovir alafenamide (FTC/TAF)",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37554471,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37573167,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
Kimi K3 QSP,37573167,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Enfuvirtide, maraviroc (all other treatments reported only by drug class)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF","Lamivudine/emtricitabine (3TC/FTC), abacavir (ABC), zidovudine (AZT), tenofovir disoproxil fumarate (TDF), tenofovir alafenamide (TAF), efavirenz (EFV), nevirapine (NVP), rilpivirine (RPV), ritonavir-boosted lopinavir (LPV/r), atazanavir (ATV, ATV/r), ritonavir-boosted darunavir (DRV/r), cobicistat-boosted darunavir (DRV/c), ritonavir (RTV), raltegravir (RAL), dolutegravir (DTG), cobicistat-boosted elvitegravir (EVG/c)",ok,model error,
Kimi K3 QSP,37593123,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
Kimi K3 QSP,37593123,11,List,What type of samples were sequenced?,Plasma,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,0,ok,model error,
Kimi K3 QSP,37593123,6,List,From which countries were the sequenced samples obtained?,China,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37593123,7,List,From what years were the sequenced samples obtained?,2004-2022,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,110,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","Zidovudine (AZT), stavudine (D4T), tenofovir (TDF), lamivudine/emtricitabine (3TC/FTC), abacavir (ABC), didanosine (DDI), atazanavir (ATV/r), lopinavir (LPV/r), indinavir (IND/IDV), nelfinavir (NFV)",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ambiguous,annotation/convention,"ambiguous: the quoted text is the journal's data-deposition policy statement, not evidence of an actual deposition"
Kimi K3 QSP,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
Kimi K3 QSP,37701387,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,ok,model error,
Kimi K3 QSP,37701387,6,List,From which countries were the sequenced samples obtained?,Italy,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37701387,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
Kimi K3 QSP,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Zidovudine (ZDV),ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe","Not reported (multi-country study; only regions of enrollment given: Africa, Asia, Australia, Europe, South America, USA)",ok,model error,
Kimi K3 QSP,37817087,11,List,What type of samples were sequenced?,"Serum, Plasma, DBS",Plasma,ok,model error,
Kimi K3 QSP,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37872202,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,wrong,annotation/convention,"wrong: GenBank accession numbers (OR259825 etc.) appear in a table; the QSP rule says accessions mean Yes, annotation says No"
Kimi K3 QSP,37878637,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,"OR259781, OR259825, OR259851, OR259967",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37880705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,wrong,annotation/convention,"wrong: systematic review of pretreatment drug resistance studies in Ethiopia (article type REVIEW); the QSP rule says reviews get No, the annotation says Yes and records pooled primary-study details"
Kimi K3 QSP,37880705,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,37880705,5,Number,How many individuals had samples obtained for HIV sequencing?,1070,0,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,37880705,6,List,From which countries were the sequenced samples obtained?,Ethiopia,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,37880705,7,List,From what years were the sequenced samples obtained?,2003-2018,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,37914679,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
Kimi K3 QSP,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,37957382,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,model error,
Kimi K3 QSP,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","Pol, PR, RT, IN, CA, Env",ok,model error,
Kimi K3 QSP,37973713,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,ok,model error,
Kimi K3 QSP,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland",Poland,ok,model error,
Kimi K3 QSP,38005921,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ok,model error,
Kimi K3 QSP,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,38020274,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,38020274,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TDF), zidovudine (AZT), lamivudine (3TC), abacavir (ABC), lopinavir/ritonavir (LPV/r), atazanavir/ritonavir (ATV/r), darunavir/ritonavir (DRV/r); nevirapine (NVP) and stavudine (d4T) noted as historically used regimens",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,38020274,5,Number,How many individuals had samples obtained for HIV sequencing?,311,Not reported,ok,model error,
Kimi K3 QSP,38058846,11,List,What type of samples were sequenced?,Not reported,Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,38140553,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
Kimi K3 QSP,38140553,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
Kimi K3 QSP,38140553,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,"Individual accession numbers not printed in the article; the paper states: ""All nucleotide sequences obtained in the study were deposited in the international database of the Los Alamos laboratory (Supplemental Table S4)""; Supplementary Table S4 is described as ""Access numbers of all analyzed HIV-1 sequences in the Los Alamos National Laboratory database (GenBank).""",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,38152686,6,List,From which countries were the sequenced samples obtained?,Not reported,Brazil,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,38427738,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,38427738,9,List,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu","Pol, CA, Env",ok,model error,
Kimi K3 QSP,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,234,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),No,ok,model error,
Kimi K3 QSP,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40431710,10,List,What method was used for sequencing?,Sanger,NGS,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
Kimi K3 QSP,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,1667,ok,model error,
Kimi K3 QSP,40596906,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not stated,"zidovudine (ZDV/AZT), lamivudine (3TC), nevirapine (NVP), lopinavir/ritonavir (LPV/r), efavirenz (EFV)",ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
Kimi K3 QSP,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"Tenofovir (TFV); individual prior drugs otherwise only in unavailable supplement. All participants received the study drug regimen bictegravir (BIC), emtricitabine (FTC), and tenofovir alafenamide (TAF) after baseline sampling.",ambiguous,annotation/convention,ambiguous: annotation hedges: 'TFV (no other ARVs specified; Data in supplementary methods)'
Kimi K3 QSP,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,ambiguous: paper states participants underwent genotypic/phenotypic resistance analyses; no susceptibility values shown
Kimi K3 QSP,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),241,ambiguous,annotation/convention,ambiguous: annotation hedges: '7 (Uncertain)'
Kimi K3 QSP,40872801,10,List,What method was used for sequencing?,Sanger,Not reported,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,11,List,What type of samples were sequenced?,Plasma,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",None,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,7,List,From what years were the sequenced samples obtained?,2004-2021,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40872801,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR",Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,"1,260",ok,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
Kimi K3 QSP,40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,Not applicable,ok,model error,
Kimi K3 QSP,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40965168,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
Kimi K3 QSP,40965168,11,List,What type of samples were sequenced?,Not applicable,Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,40974886,11,List,What type of samples were sequenced?,PBMC (Whole blood OK),"Whole blood, Plasma",ok,model error,
Kimi K3 QSP,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,241,ok,annotation/convention,R6 QID 5 denominator: both 241 and 223 are stated in the paper
Kimi K3 QSP,41004608,5,Number,How many individuals had samples obtained for HIV sequencing?,1182,1106,ok,model error,
Kimi K3 QSP,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, Env",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41012586,11,List,What type of samples were sequenced?,Plasma (presumably),Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41056006,10,List,What method was used for sequencing?,Sanger,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
Kimi K3 QSP,41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,"ambiguous: PhenoSense Gag-Pro assay stated at study entry; the QSP rule ('describes a susceptibility assay') supports Yes, no numeric results are shown"
Kimi K3 QSP,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),"USA, Dominican Republic",ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
Kimi K3 QSP,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,2019–2020,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,41057785,10,List,What method was used for sequencing?,Sanger (not stated),Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Sanger (not stated)'
Kimi K3 QSP,41088231,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, No,Yes,ok,model error,
Kimi K3 QSP,41088231,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,"NRTI, INSTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,41088231,16,List,Which drugs were received by individuals in the study before sample sequencing?,None,"bictegravir (BIC), emtricitabine (FTC), tenofovir alafenamide (TAF)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, Env",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41091504,8,Boolean,Were samples cloned prior to sequencing?,Yes (site-directed mutants),Not applicable,wrong,annotation/convention,"wrong: computational paper (molecular dynamics and machine learning on published protease data); the PDF never mentions cloning, site-directed mutagenesis or sequencing, yet the annotation says 'Yes (site-directed mutants)'"
Kimi K3 QSP,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
Kimi K3 QSP,41093949,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ok,model error,
Kimi K3 QSP,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,77,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41130593,7,List,From what years were the sequenced samples obtained?,Not provided,2021–2023,wrong,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,41140464,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT,19104010,10,List,What method was used for sequencing?,Sanger,No,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT,19104010,9,List,Which HIV genes were reported to have been sequenced?,IN,No,ok,model error,
GPT-4o FT,21115794,9,List,Which HIV genes were reported to have been sequenced?,IN,No,ok,model error,
GPT-4o FT,23749954,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o FT,23749954,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,
GPT-4o FT,24227862,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,
GPT-4o FT,25637519,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,
GPT-4o FT,26246578,9,List,Which HIV genes were reported to have been sequenced?,IN,No,ok,model error,
GPT-4o FT,26559830,9,List,Which HIV genes were reported to have been sequenced?,PR,No,ok,model error,
GPT-4o FT,27009474,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,27009474,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,ok,model error,
GPT-4o FT,28559249,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT,28559249,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT,28559249,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,29373677,7,List,From what years were the sequenced samples obtained?,2015,No,ok,model error,
GPT-4o FT,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
GPT-4o FT,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,unanswerable,annotation/convention,unanswerable: Boolean question annotated '14'
GPT-4o FT,32601157,9,List,Which HIV genes were reported to have been sequenced?,IN,No,ok,model error,
GPT-4o FT,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",No,ok,model error,
GPT-4o FT,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",No,ok,model error,
GPT-4o FT,35913500,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-4o FT,35913500,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o FT,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,No,ok,model error,
GPT-4o FT,35913500,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,ok,model error,
GPT-4o FT,35945163,11,List,What type of samples were sequenced?,Plasma,No,ok,model error,
GPT-4o FT,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,35,ok,annotation/convention,R6 QID 5 denominator: both 35 and 6 are stated in the paper
GPT-4o FT,35945163,6,List,From which countries were the sequenced samples obtained?,"UK, USA, Belgium, Canada, Netherlands, Switzerland, Portugal, Italy, South Korea, Spain",No,ok,model error,
GPT-4o FT,35945163,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,ok,model error,
GPT-4o FT,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,36571282,11,List,What type of samples were sequenced?,Plasma,No,ok,model error,
GPT-4o FT,36597160,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF,FTC,EVG",No,ok,model error,
GPT-4o FT,36645792,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI","NRTI, INSTI",ok,model error,
