pmid,qid,question,chunk_ids,sections,scores
36519389,1,Does the paper report HIV sequences from patient samples?,11|10|5|9|8,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA",3.1267|2.7672|1.8752|1.5339|1.4154
36519389,10,What method was used for sequencing?,6|11|10|7|5,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Weight|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS",1.2186|0.9736|0.9388|0.9259|0.9216
36519389,11,What type of samples were sequenced?,5|3|2|8|1,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Abstract",1.7863|1.5916|1.5281|1.1727|0.9453
36519389,12,How many individuals had samples obtained for HIV sequencing?,5|9|2|10|8,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA",2.6850|2.2041|2.0505|1.9790|1.4579
36519389,13,Were the patients in the study in a clinical trial?,3|11|10|5|9,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION",6.3942|6.1557|5.9678|4.8352|3.9012
36519389,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,2|9|10|5|3,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design",6.3006|5.4284|4.4035|3.0909|3.0303
36519389,15,Which drug classes were received by individuals in the study before sample sequencing?,3|11|12|10|5,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Notes|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS",7.5160|5.9078|3.8646|3.7459|2.6902
36519389,16,Which drugs were received by individuals in the study before sample sequencing?,3|11|12|10|5,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Notes|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS",7.5160|5.9078|3.8646|3.7459|2.6902
36519389,2,Does the paper report in vitro drug susceptibility data?,5|11|8|10|7,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C",0.9294|0.8961|0.8946|0.8898|0.8376
36519389,3,What were the GenBank accession numbers for sequenced HIV isolates?,3|12|5|8|11,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Notes|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION",2.8427|2.7736|2.6692|2.5881|1.4542
36519389,4,What were the GenBank accession numbers for sequenced HIV isolates?,3|12|5|8|11,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Notes|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > HIV RNA|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION",2.8427|2.7736|2.6692|2.5881|1.4542
36519389,5,From which countries were the sequenced samples obtained?,11|5|2|7|3,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design",4.4313|2.4156|1.9387|1.5849|1.4429
36519389,6,From which countries were the sequenced samples obtained?,11|5|2|7|3,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design",4.4313|2.4156|1.9387|1.5849|1.4429
36519389,7,From what years were the sequenced samples obtained?,9|5|2|7|3,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design",2.5893|2.4156|1.9387|1.5849|1.4429
36519389,8,Were samples cloned prior to sequencing?,5|2|1|3|7,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > Abstract|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS > Lipids, Glucose, Blood Pressure, and HbA1C",1.7103|1.4169|1.3632|1.1930|1.0553
36519389,9,Which HIV genes were reported to have been sequenced?,2|11|5|9|3,"Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Setting|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > RESULTS|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > DISCUSSION|Weight and Metabolic Changes After Switching From Tenofovir Alafenamide/Emtricitabine (FTC)+Dolutegravir (DTG), Tenofovir Disoproxil Fumarate (TDF)/FTC + DTG, and TDF/FTC/Efavirenz to TDF/Lamivudine/DTG > METHODS > Study Design",4.7914|2.9569|2.5150|2.4311|2.2251
36571282,1,Does the paper report HIV sequences from patient samples?,18|4|3|17|1,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > Abstract,4.8852|4.6943|4.6270|4.3459|3.8007
36571282,10,What method was used for sequencing?,4|3|1|12|13,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > Abstract|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION,8.5941|8.2945|1.9136|1.5074|1.3641
36571282,11,What type of samples were sequenced?,4|3|5|6|9,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > RESULTS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > RESULTS,2.6986|2.5557|0.7012|0.6722|0.6077
36571282,12,How many individuals had samples obtained for HIV sequencing?,4|3|17|11|5,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS,7.8343|7.6724|3.2437|3.1703|2.4888
36571282,13,Were the patients in the study in a clinical trial?,13|6|10|3|4,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > RESULTS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > RESULTS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS,3.0730|3.0655|2.8002|1.9708|1.9516
36571282,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,3|18|13|4|17,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION,6.3195|6.1056|5.5004|4.6943|4.3459
36571282,15,Which drug classes were received by individuals in the study before sample sequencing?,4|3|13|15|1,Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > METHODS|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > DISCUSSION|Transmitted Drug Resistance to Integrase-Based First-Line Human Immunodeficiency Virus Antiretroviral Regimens in Mediterranean Europe > Abstract,9.2458|8.8917|4.6291|4.5735|3.7152
