PMID,GPT-4o base Correct,GPT-4o FT Correct,GPT-4o FT+QSP Correct,GPT-4o QSP Correct,Llama3.1-70B base Correct,Llama3.1-70B FT Correct,Llama3.1-70B FT+QSP Correct,Llama3.1-70B QSP Correct,Llama3.1-8B base Correct,Llama3.1-8B FT Correct,Llama3.1-8B FT+QSP Correct,Llama3.1-8B QSP Correct,question_count,GPT-4o base Exact Match,GPT-4o FT Exact Match,GPT-4o FT+QSP Exact Match,GPT-4o QSP Exact Match,Llama3.1-70B base Exact Match,Llama3.1-70B FT Exact Match,Llama3.1-70B FT+QSP Exact Match,Llama3.1-70B QSP Exact Match,Llama3.1-8B base Exact Match,Llama3.1-8B FT Exact Match,Llama3.1-8B FT+QSP Exact Match,Llama3.1-8B QSP Exact Match,GPT-4o FT vs base,GPT-4o QSP vs base,GPT-4o FT+QSP vs base,Llama3.1-70B FT vs base,Llama3.1-70B QSP vs base,Llama3.1-70B FT+QSP vs base,Llama3.1-8B FT vs base,Llama3.1-8B QSP vs base,Llama3.1-8B FT+QSP vs base
40573423,15,16,16,15,14,14,10,15,9,9,14,14,16,0,1,1,0,0,0,0,0,0,0,0,0,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40596906,12,13,14,11,13,9,12,14,13,12,4,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40713598,16,15,15,15,16,16,15,15,15,14,12,16,16,1,0,0,0,1,1,0,0,0,0,0,1,base_only,base_only,base_only,both_exact,base_only,base_only,neither_exact,target_only,neither_exact
40763144,14,14,15,15,16,16,13,13,8,12,13,14,16,0,0,0,0,1,1,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,both_exact,base_only,base_only,neither_exact,neither_exact,neither_exact
40779404,15,13,14,13,14,13,8,14,14,13,9,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40839365,15,16,15,14,15,16,14,14,16,15,16,14,16,0,1,0,0,0,1,0,0,1,0,1,0,target_only,neither_exact,neither_exact,target_only,neither_exact,neither_exact,base_only,base_only,both_exact
40857111,11,12,11,10,13,12,12,13,13,12,11,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40872801,12,9,12,12,10,8,9,12,8,7,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40938120,14,15,15,16,14,10,16,15,12,11,16,15,16,0,0,0,1,0,0,1,0,0,0,1,0,neither_exact,target_only,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,target_only
40938996,10,15,13,8,7,11,14,13,11,12,12,8,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40965168,10,11,10,9,9,12,12,11,9,13,11,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40974886,10,13,13,10,11,11,10,11,11,8,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41004608,11,10,15,13,12,14,13,15,11,11,9,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41012586,10,6,8,11,11,9,12,7,10,11,11,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41023944,13,14,14,14,13,15,13,14,12,15,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41029850,13,15,16,16,16,15,14,15,15,11,14,15,16,0,0,1,1,1,0,0,0,0,0,0,0,neither_exact,target_only,target_only,base_only,base_only,base_only,neither_exact,neither_exact,neither_exact
41056006,8,11,11,4,12,8,7,7,11,8,8,6,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41057785,12,12,13,13,12,12,11,14,13,11,13,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41088231,15,14,13,14,13,12,14,14,11,5,10,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41091504,12,14,14,14,10,12,13,14,9,13,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41093949,11,13,13,10,9,7,11,15,10,10,15,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41112839,15,14,16,16,16,16,16,16,14,15,14,16,16,0,0,1,1,1,1,1,1,0,0,0,1,neither_exact,target_only,target_only,both_exact,both_exact,both_exact,neither_exact,target_only,neither_exact
41129268,13,15,16,13,16,15,14,14,5,6,8,13,16,0,0,1,0,1,0,0,0,0,0,0,0,neither_exact,neither_exact,target_only,base_only,base_only,base_only,neither_exact,neither_exact,neither_exact
41130593,13,11,11,12,12,12,6,13,11,11,8,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
41140464,11,12,13,12,11,13,10,10,12,10,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
