PMID,QID,Question,Human-Answer,bm25_text_coverage,semantic_text_coverage,coverage_delta,bm25_chunk_ids,semantic_chunk_ids,bm25_reconstructed_sections,semantic_reconstructed_sections,bm25_excerpt,semantic_excerpt
36779485,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",1.0,1.0,0.0,10|6|1|7|5,4|5|9|8|3,Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Acknowledgements | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract,Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract,"[Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Acknowledgements] No specific funding was received to perform this research. [Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract] Prevalence of rilpivirine drug resistance mutations in 1372 patients failing NNRTI-based treatment. CAB/RPV LA treatment, with its potential to improve treatm…",[Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract] Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described \[ 7 \]. Pol sequences were submitted to Stanford HIVdb v9.0 to identify rilpivirine DRMs. The following mutations were included as rilpivirine DRMs (Stanford HIVdb penalty score ≥10): A98G…
36851704,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",1.0,1.0,0.0,4|13|7|2|11,5|10|4|9|6,"HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 4. Discussion | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.1. Demographic and Clinical Characteristics | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.1. Study Design | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.2. HIV Drug Resistance","HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.4. Data Analysis | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.2. HIV Drug Resistance | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.2. HIV Drug Resistance | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.4. Data Analysis","[HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures] Whole blood specimens were collected by venipuncture in EDTA-containing tubes from participants before initiating or reinitiating ART. Plasma was separated within 12 h of collection; all plasma specimens were stored at −80 °C at the National HIV-AIDS Reference Laborator…","[HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.4. Data Analysis] Five pairs of HIV sequences with a small genetic distance (\<0.5%) and without epidemiological link were detected. Therefore, following the WHO/HIV ResNet Laboratory Operational Framework \[ 14 \], one sequence was excluded from each pair. Thus, 204 reverse transcriptase and pr…"
36851760,15,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, NRTI, PI",1.0,1.0,0.0,11|1|14|3|12,9|7|10|8|11,Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > Abstract | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.1. Patients and Sample Collection | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion,Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 3. Results > 3.1. Characteristics of Study Subjects | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 3. Results > 3.2. INI-Resistance-Associated Mutations and Natural Polymorphism Patterns | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.3. Data Analysis | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion,"[Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion] This first report from Benin and Mali found that no major INI RAMs were identified, consistent with prior studies \[ 7 , 14 , 18 \], further supporting evidence that primary INI RAMs are rare. This finding is congruent with studies from the United States \[ 19 \] and Europe \[ 20 \], where INI drug-resistance mutations (DRMs) have rarely been identifi…","[Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 3. Results > 3.1. Characteristics of Study Subjects] The characteristics of the patients providing the 75 samples that were successfully sequenced are shown in Table 1 . At enrollment, 90.3% of the treated children were receiving non-nucleoside-reverse-transcriptase-inhibitor (NNRTI)-based regimens, and only 9.7% received both nucleoside-reverse-transcriptase inhibi…"
37017009,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",1.0,1.0,0.0,9|20|21|7|5,7|12|13|9|2,Resistance is common in paediatric patients failing ART in South Africa > Methods > Statistical methods | Resistance is common in paediatric patients failing ART in South Africa > Discussion | Resistance is common in paediatric patients failing ART in South Africa > Discussion > Study limitations | Resistance is common in paediatric patients failing ART in South Africa > Methods > Blood specimen collection and HIVDR genotyping | Resistance is common in paediatric patients failing ART in South Africa > Methods > Study design and sample size criteria,Resistance is common in paediatric patients failing ART in South Africa > Methods > Blood specimen collection and HIVDR genotyping | Resistance is common in paediatric patients failing ART in South Africa > Results > Demographic characteristics of enrolled participants | Resistance is common in paediatric patients failing ART in South Africa > Results > Prevalence of HIVDR in children on ART with VF | Resistance is common in paediatric patients failing ART in South Africa > Methods > Statistical methods | Resistance is common in paediatric patients failing ART in South Africa > Abstract > Methods:,"[Resistance is common in paediatric patients failing ART in South Africa > Methods > Statistical methods] The sample was selected in two stages as described above. This approach provided estimation of both the within- and between-clinic variability, which provided appropriate standard errors for 95% CI. Descriptive statistics were presented using frequencies and proportions for categorical variables and medians with corresponding IQRs for continuous variables. All prevalence…","[Resistance is common in paediatric patients failing ART in South Africa > Methods > Blood specimen collection and HIVDR genotyping] Whole blood was collected using standard phlebotomy methods into a 6 mL EDTA tube. A minimum of 500 μL plasma was ultra-centrifuged and total nucleic acid extracted using the MagNA Pure 2.0 automated extraction system (Roche Applied Science, Penzberg, Germany). PCR amplification was performed using an in-house method resulting in a single ampli…"
37039023,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",1.0,1.0,0.0,7|13|20|24|4,4|7|5|23|13,Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Drug resistance mutation analysis | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Results > Antiretroviral resistance mutations | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Discussion | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Discussion | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Genomic library construction and HTS,Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Genomic library construction and HTS | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Drug resistance mutation analysis | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Data analysis | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Discussion | Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Results > Antiretroviral resistance mutations,[Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Drug resistance mutation analysis] The presence and frequency of antiretroviral resistance mutations were evaluated through reference-based assembly according to the antiretroviral resistance annotations. ^\ \ 29^ The minimum variant frequency considered in our study was 1%. …,"[Evaluation of HIV-1 antiretroviral drug resistance profiles in the peripheral blood reservoir of successfully treated persons using massive sequencing and viral full genome characterization > Methods > Genomic library construction and HTS] The purified PCR fragments were diluted to 0.4 ng/µL and pooled per sample for genomic library construction with the Nextera XT DNA Sample Preparation kit (Illumina, Inc, San Diego, CA, USA). ^\ \ 29^ Libraries were quantified in Qubit 3 …"
37340869,15,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",1.0,1.0,0.0,5|6|20|21|9,2|6|20|10|8,"Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Study Population | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Factors Explored for Association With Virologic Failure | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > DISCUSSION | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > DISCUSSION | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Statistical Analysis","Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > Abstract > Methods | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Factors Explored for Association With Virologic Failure | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > DISCUSSION | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > RESULTS > Participants | Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Statistical Analysis","[Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > METHODS > Study Population] Data from participants who received CAB + RPV LA dosed Q4W and/or Q8W in FLAIR, ATLAS, or ATLAS-2M were pooled in post hoc analyses. Data cutoffs were through week 124 for FLAIR, week 96 for ATLAS, and week 152 for ATL…","[Expanded Multivariable Models to Assist Patient Selection for Long-Acting Cabotegravir + Rilpivirine Treatment: Clinical Utility of a Combination of Patient, Drug Concentration, and Viral Factors Associated With Virologic Failure > Abstract > Methods] Pooled data from 1651 participants were used to explore dosing regimen (every 4 or every 8 weeks), demographic, viral, and pharmacokinetic covariates as potential predictors of CVF. Prior dosing regimen experience was accounte…"
37376649,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",1.0,1.0,0.0,4|9|5|3|6,4|3|5|1|7,Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 4. Discussion | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 2. Materials and Methods > 2.2. Study Design | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results,Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 2. Materials and Methods > 2.2. Study Design | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > Abstract | Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 4. Discussion,"[Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results] Of 919 participants screened for the study, 543 (59%) participants had historical genotypic reports available and submitted for eligibility. Of those with submitted historical genotypes, 9/543 (1.7%) participants were excluded at screening due to pre-existing major NRTI resistance. Among these nine ineligible participant…","[Assessing the Virologic Impact of Archived Resistance in the Dolutegravir/Lamivudine 2-Drug Regimen HIV-1 Switch Study TANGO through Week 144 > 3. Results] Of 919 participants screened for the study, 543 (59%) participants had historical genotypic reports available and submitted for eligibility. Of those with submitted historical genotypes, 9/543 (1.7%) participants were excluded at screening due to pre-existing major NRTI resistance. Among these nine ineligible participant…"
37439411,15,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI,1.0,1.0,0.0,9|7|11|10|2,2|3|9|5|4,Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > DISCUSSION | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > DISCUSSION | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > FUNDING INFORMATION | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > DISCUSSION | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > MATERIALS AND METHODS,Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > MATERIALS AND METHODS | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > MATERIALS AND METHODS | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > DISCUSSION | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > RESULTS | Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > RESULTS,"[Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > DISCUSSION] In our cohort, a lower nadir CD4 count was a predictor for both TDR and PDR. Regarding VL, a lower zenith of HIV-1-RNA was a predictor of TDR, probably due to the lower replication capacity of resistant variants over wild-type HIV \[ 16 \]. Instead, as regards experienced patients, …","[Trend over time of HIV-1 drug resistance to nonnucleoside reverse transcriptase inhibitors (NNRTIs) and their drivers: A cohort study from Antiviral Response Cohort Analysis (ARCA) > MATERIALS AND METHODS] We retrieved HIV-1 RNA protease/reverse transcriptase sequences, demographic and clinical data of adult PLWH from the Antiviral Response Cohort Analysis (ARCA) database, a public observational database containing data from more than 100 Italian centres for the study of re…"
37495103,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",1.0,1.0,0.0,2|15|11|16|6,6|2|11|3|8,"Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > ABSTRACT > Methods | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 3. Results > 3.4. Genetic barrier to resistance > 3.4.3. TDF + 3TC + DTG | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 3. Results > 3.3. ARV drug resistance mutations | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 3. Results > 3.4. Genetic barrier to resistance > 3.4.4. TDF + 3TC + LPV/r | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 2. Methods > 2.2. HIV-1 genotyping and subtyping","Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 2. Methods > 2.2. HIV-1 genotyping and subtyping | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > ABSTRACT > Methods | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 3. Results > 3.3. ARV drug resistance mutations | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > ABSTRACT > Results | Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 3. Results > 3.1. Study cohort","[Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > ABSTRACT > Methods] The study cohort ( *n* = 271) included HIV-infected individuals who visited the Novosibirsk, Russia, HIV/AIDS clinic in 2018--2022. All patients received first-line ART prior to virological failure. Sociodemographic and HIV-related data were collected from medical records and self-reported questionnaires. HIV-1 *pol* g…","[Patterns of HIV-1 drug resistance among HIV-infected patients receiving first-line antiretroviral therapy in Novosibirsk Region, Russia > 2. Methods > 2.2. HIV-1 genotyping and subtyping] HIV-1 RNA was isolated from 250 µL of plasma using DeltaMag HBV/HCV/HIV (Vector-Best, Russia) according to the kit\'s manual. Reverse transcription and PCR were performed using RealBest Master Mix RT (Vector-Best, Russia) and BioMaster HS-Taq PCR-Color (BioLabMix, Russia), respectively, to…"
37515095,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",1.0,1.0,0.0,26|3|21|5|13,7|8|14|9|13,High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > Funding Statement | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.2. Epidemiological Data | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 4. Discussion > 4.2. High-Level Drug Resistance and Distinct DRMs between the Subtypes | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.3. Sequence Generation | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 3. Results > 3.2. Drug Resistance Profiles,High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.5. Drug Resistance Profiling | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.6. Phylogenetic Analysis | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 3. Results > 3.3. Distinct DRMs among Subtypes A6 and CRF02_AG | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.7. Statistical Analysis | High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 3. Results > 3.2. Drug Resistance Profiles,[High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > Funding Statement] S.A. received funding for this study by Nazarbayev University under the Grant: 20122022CRP1605. S.A. and S.V. received funding for this study by the National Institute on Drug Abuse of the National Institutes of Health under Award: R03DA052179. S.V. is further supported by NIH Award: P30MH062294. E.P.-H. was supported by a Wellcome Trust Scholarship: 222329/Z/21/Z. [Hi…,"[High-Level Drug-Resistant Mutations among HIV-1 Subtype A6 and CRF02_AG in Kazakhstan > 2. Materials and Methods > 2.5. Drug Resistance Profiling] The 968 HIV-1 *pol* sequences were screened for DRMs using the Stanford HIV Drug Resistance Database \[ 21 \]. Specifically, the sequences were screened for mutations in protease and reverse transcriptase, and drug resistance scores (susceptible, potential low-, low-, intermediate-, and high-level resistance) were outputted by th…"
37520425,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI,1.0,1.0,0.0,24|12|6|8|16,8|16|6|2|11,Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > DISCUSSION | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Ethical Considerations | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Study Population | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Laboratory Measurements | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > RESULTS > HIV-1 Drug Resistance--Associated Mutations,Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Laboratory Measurements | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > RESULTS > HIV-1 Drug Resistance--Associated Mutations | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Study Population | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > Abstract > Methods | Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Statistical Methods,"[Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > DISCUSSION] To our knowledge, this is the first study addressing virological outcomes among treatment-naive patients initiating DTG-based ART in Tanzania under programmatic conditions. Our study has several limitations. Most importantly, a large proportion of patie…","[Transitioning to Dolutegravir in a Programmatic Setting: Virological Outcomes and Associated Factors Among Treatment-Naive Patients With HIV-1 in the Kilombero and Ulanga Antiretroviral Cohort in Rural Tanzania > METHODS > Laboratory Measurements] VL measurement was done using the Abbott Real-time m2000 HIV-1 Assay (Abbott Laboratories, Chicago, Illinois), with a reportable range of 40--10 000 000 copies/mL for blood plasma. For this study, we performed HIV-1 genotypic resi…"
